scenario,N,seed,logs,validated_logs,schema_rejects,deferred,peer_set_assignments,verdicts_computed,commits,reveals,seals,avg_validators_per_log,avg_validators_per_validated_log,per_log_verdicts,per_log_commits,per_log_reveals,per_log_seals,per_log_peer_set_records,per_log_protocol_ledger_tx,per_log_all_ledger_tx,ledger_tx_total,reputation_updates,walking_skeleton_overhead_ops,baseline_validation_ops
H1,30,20260629,3000,3000,0,0,3000,9000,9000,9000,3000,3.0,3.0,3.0000,3.0000,3.0000,1.0000,1.0000,9.0000,10.0107,30032,3000,33000,0
H1,10,20260629,1000,1000,0,0,1000,3000,3000,3000,1000,3.0,3.0,3.0000,3.0000,3.0000,1.0000,1.0000,9.0000,10.0120,10012,1000,11000,0
H1,20,20260629,2000,2000,0,0,2000,6000,6000,6000,2000,3.0,3.0,3.0000,3.0000,3.0000,1.0000,1.0000,9.0000,10.0110,20022,2000,22000,0
H1b,30,20260629,3000,3000,0,0,3000,9000,9000,9000,3000,3.0,3.0,3.0000,3.0000,3.0000,1.0000,1.0000,9.0000,10.0107,30032,3000,33000,0
H1b,10,20260629,1000,1000,0,0,1000,3000,3000,3000,1000,3.0,3.0,3.0000,3.0000,3.0000,1.0000,1.0000,9.0000,10.0120,10012,1000,11000,0
H1b,20,20260629,2000,2000,0,0,2000,6000,6000,6000,2000,3.0,3.0,3.0000,3.0000,3.0000,1.0000,1.0000,9.0000,10.0110,20022,2000,22000,0
H3,30,20260629,3000,3000,0,0,3000,9000,9000,9000,3000,3.0,3.0,3.0000,3.0000,3.0000,1.0000,1.0000,9.0000,10.0107,30032,3000,33000,0
H3,10,20260629,1000,1000,0,0,1000,3000,3000,3000,1000,3.0,3.0,3.0000,3.0000,3.0000,1.0000,1.0000,9.0000,10.0120,10012,1000,11000,0
H3,20,20260629,2000,2000,0,0,2000,6000,6000,6000,2000,3.0,3.0,3.0000,3.0000,3.0000,1.0000,1.0000,9.0000,10.0110,20022,2000,22000,0
H1U,30,20260629,3000,3000,0,0,3000,9000,9000,9000,3000,3.0,3.0,3.0000,3.0000,3.0000,1.0000,1.0000,9.0000,10.0107,30032,3000,33000,0
