scenario,N,seed,arm,metric,group,x,n,p,p_fmt,wilson95_lo,wilson95_hi,cp95_lo,cp95_hi,wilson95_fmt,cp95_fmt
H1b,30,20260629,process,consensus_accuracy,all_tasks,100,100,1.000000,100.0%,0.963007,1.000000,0.963783,1.000000,"[96.3, 100.0]","[96.4, 100.0]"
H1b,30,20260629,process,flag_rate,all_logs,0,3000,0.000000,0.0%,0.000000,0.001279,0.000000,0.001229,"[0.0, 0.1]","[0.0, 0.1]"
H1b,30,20260629,process,flag_rate,tier:minimal,0,600,0.000000,0.0%,0.000000,0.006362,0.000000,0.006129,"[0.0, 0.6]","[0.0, 0.6]"
H1b,30,20260629,process,flag_rate,tier:terse,0,600,0.000000,0.0%,0.000000,0.006362,0.000000,0.006129,"[0.0, 0.6]","[0.0, 0.6]"
H1b,30,20260629,process,flag_rate,tier:standard,0,600,0.000000,0.0%,0.000000,0.006362,0.000000,0.006129,"[0.0, 0.6]","[0.0, 0.6]"
H1b,30,20260629,process,flag_rate,tier:verbose,0,600,0.000000,0.0%,0.000000,0.006362,0.000000,0.006129,"[0.0, 0.6]","[0.0, 0.6]"
H1b,30,20260629,process,flag_rate,tier:evidence,0,600,0.000000,0.0%,0.000000,0.006362,0.000000,0.006129,"[0.0, 0.6]","[0.0, 0.6]"
H1b,30,20260629,process,task_level_any_log_flagged,tasks,0,100,0.000000,0.0%,0.000000,0.036993,0.000000,0.036217,"[0.0, 3.7]","[0.0, 3.6]"
H1b,30,20260629,baseline,consensus_accuracy,all_tasks,100,100,1.000000,100.0%,0.963007,1.000000,0.963783,1.000000,"[96.3, 100.0]","[96.4, 100.0]"
H1b,30,20260629,baseline,flag_rate,all_logs,300,3000,0.100000,10.0%,0.089771,0.111252,0.089492,0.111295,"[9.0, 11.1]","[8.9, 11.1]"
H1b,30,20260629,baseline,flag_rate,tier:minimal,54,600,0.090000,9.0%,0.069634,0.115583,0.068333,0.115799,"[7.0, 11.6]","[6.8, 11.6]"
H1b,30,20260629,baseline,flag_rate,tier:terse,59,600,0.098333,9.8%,0.077002,0.124775,0.075700,0.125008,"[7.7, 12.5]","[7.6, 12.5]"
H1b,30,20260629,baseline,flag_rate,tier:standard,65,600,0.108333,10.8%,0.085911,0.135739,0.084610,0.135991,"[8.6, 13.6]","[8.5, 13.6]"
H1b,30,20260629,baseline,flag_rate,tier:verbose,59,600,0.098333,9.8%,0.077002,0.124775,0.075700,0.125008,"[7.7, 12.5]","[7.6, 12.5]"
H1b,30,20260629,baseline,flag_rate,tier:evidence,63,600,0.105000,10.5%,0.082933,0.132092,0.081632,0.132337,"[8.3, 13.2]","[8.2, 13.2]"
H1b,30,20260629,baseline,task_level_any_log_flagged,tasks,100,100,1.000000,100.0%,0.963007,1.000000,0.963783,1.000000,"[96.3, 100.0]","[96.4, 100.0]"
H1b,30,20260629,process,flag_rate,honest_error_logs,0,300,0.000000,0.0%,0.000000,0.012643,0.000000,0.012221,"[0.0, 1.3]","[0.0, 1.2]"
H1b,30,20260629,process,flag_rate,correct_output_logs,0,2700,0.000000,0.0%,0.000000,0.001421,0.000000,0.001365,"[0.0, 0.1]","[0.0, 0.1]"
H1b,30,20260629,process,task_level_any_honest_error_flagged,tasks,0,100,0.000000,0.0%,0.000000,0.036993,0.000000,0.036217,"[0.0, 3.7]","[0.0, 3.6]"
H1b,30,20260629,baseline,flag_rate,honest_error_logs,300,300,1.000000,100.0%,0.987357,1.000000,0.987779,1.000000,"[98.7, 100.0]","[98.8, 100.0]"
H1b,30,20260629,baseline,flag_rate,correct_output_logs,0,2700,0.000000,0.0%,0.000000,0.001421,0.000000,0.001365,"[0.0, 0.1]","[0.0, 0.1]"
H1b,30,20260629,baseline,task_level_any_honest_error_flagged,tasks,100,100,1.000000,100.0%,0.963007,1.000000,0.963783,1.000000,"[96.3, 100.0]","[96.4, 100.0]"
H1b,30,20260629,process,digest_agreement,all_logs,3000,3000,1.000000,100.0%,0.998721,1.000000,0.998771,1.000000,"[99.9, 100.0]","[99.9, 100.0]"
