scenario,N,seed,arm,metric,group,x,n,p,p_fmt,wilson95_lo,wilson95_hi,cp95_lo,cp95_hi,wilson95_fmt,cp95_fmt
H3,30,20260629,process,consensus_accuracy,all_tasks,100,100,1.000000,100.0%,0.963007,1.000000,0.963783,1.000000,"[96.3, 100.0]","[96.4, 100.0]"
H3,30,20260629,process,fpr,all_honest,0,2700,0.000000,0.0%,0.000000,0.001421,0.000000,0.001365,"[0.0, 0.1]","[0.0, 0.1]"
H3,30,20260629,process,fpr,tier:minimal,0,600,0.000000,0.0%,0.000000,0.006362,0.000000,0.006129,"[0.0, 0.6]","[0.0, 0.6]"
H3,30,20260629,process,fpr,tier:terse,0,600,0.000000,0.0%,0.000000,0.006362,0.000000,0.006129,"[0.0, 0.6]","[0.0, 0.6]"
H3,30,20260629,process,fpr,tier:standard,0,500,0.000000,0.0%,0.000000,0.007624,0.000000,0.007351,"[0.0, 0.8]","[0.0, 0.7]"
H3,30,20260629,process,fpr,tier:verbose,0,500,0.000000,0.0%,0.000000,0.007624,0.000000,0.007351,"[0.0, 0.8]","[0.0, 0.7]"
H3,30,20260629,process,fpr,tier:evidence,0,500,0.000000,0.0%,0.000000,0.007624,0.000000,0.007351,"[0.0, 0.8]","[0.0, 0.7]"
H3,30,20260629,process,detection_tpr,all_attackers,300,300,1.000000,100.0%,0.987357,1.000000,0.987779,1.000000,"[98.7, 100.0]","[98.8, 100.0]"
H3,30,20260629,process,task_level_any_honest_flagged,tasks,0,100,0.000000,0.0%,0.000000,0.036993,0.000000,0.036217,"[0.0, 3.7]","[0.0, 3.6]"
H3,30,20260629,process,task_level_all_attackers_flagged,tasks,100,100,1.000000,100.0%,0.963007,1.000000,0.963783,1.000000,"[96.3, 100.0]","[96.4, 100.0]"
H3,30,20260629,baseline,consensus_accuracy,all_tasks,100,100,1.000000,100.0%,0.963007,1.000000,0.963783,1.000000,"[96.3, 100.0]","[96.4, 100.0]"
H3,30,20260629,baseline,fpr,all_honest,0,2700,0.000000,0.0%,0.000000,0.001421,0.000000,0.001365,"[0.0, 0.1]","[0.0, 0.1]"
H3,30,20260629,baseline,fpr,tier:minimal,0,600,0.000000,0.0%,0.000000,0.006362,0.000000,0.006129,"[0.0, 0.6]","[0.0, 0.6]"
H3,30,20260629,baseline,fpr,tier:terse,0,600,0.000000,0.0%,0.000000,0.006362,0.000000,0.006129,"[0.0, 0.6]","[0.0, 0.6]"
H3,30,20260629,baseline,fpr,tier:standard,0,500,0.000000,0.0%,0.000000,0.007624,0.000000,0.007351,"[0.0, 0.8]","[0.0, 0.7]"
H3,30,20260629,baseline,fpr,tier:verbose,0,500,0.000000,0.0%,0.000000,0.007624,0.000000,0.007351,"[0.0, 0.8]","[0.0, 0.7]"
H3,30,20260629,baseline,fpr,tier:evidence,0,500,0.000000,0.0%,0.000000,0.007624,0.000000,0.007351,"[0.0, 0.8]","[0.0, 0.7]"
H3,30,20260629,baseline,detection_tpr,all_attackers,150,300,0.500000,50.0%,0.443780,0.556220,0.441998,0.558002,"[44.4, 55.6]","[44.2, 55.8]"
H3,30,20260629,baseline,task_level_any_honest_flagged,tasks,0,100,0.000000,0.0%,0.000000,0.036993,0.000000,0.036217,"[0.0, 3.7]","[0.0, 3.6]"
H3,30,20260629,baseline,task_level_all_attackers_flagged,tasks,0,100,0.000000,0.0%,0.000000,0.036993,0.000000,0.036217,"[0.0, 3.7]","[0.0, 3.6]"
H3,30,20260629,process,digest_agreement,all_logs,3000,3000,1.000000,100.0%,0.998721,1.000000,0.998771,1.000000,"[99.9, 100.0]","[99.9, 100.0]"
H3,30,20260629,process,exclusion,flagged_logs,300,300,1.000000,100.0%,0.987357,1.000000,0.987779,1.000000,"[98.7, 100.0]","[98.8, 100.0]"
