scenario,N,seed,primary_seed,process_tpr,process_flag_nonattack,process_accuracy,baseline_tpr,baseline_flag_nonattack,baseline_accuracy,digest_agreement,ledger_verify,label_leaks,honest_rep_mean,free_rider_rep_max,process_flag_honest_error,baseline_flag_honest_error,process_tpr_bare_assertion_wrong,process_tpr_bare_assertion_correct,process_tpr_forged_op,process_tpr_orphan_op,baseline_tpr_bare_assertion_wrong,baseline_tpr_bare_assertion_correct,baseline_tpr_forged_op,baseline_tpr_orphan_op
H1,30,20260629,True,,0.000000,1.000000,,0.000000,1.000000,1.000000,True,0,0.999987,,,,,,,,,,,
H1,30,20260630,False,,0.000000,1.000000,,0.000000,1.000000,1.000000,True,0,0.999987,,,,,,,,,,,
H1,30,20260631,False,,0.000000,1.000000,,0.000000,1.000000,1.000000,True,0,0.999987,,,,,,,,,,,
H1,30,20260632,False,,0.000000,1.000000,,0.000000,1.000000,1.000000,True,0,0.999987,,,,,,,,,,,
H1,30,20260633,False,,0.000000,1.000000,,0.000000,1.000000,1.000000,True,0,0.999987,,,,,,,,,,,
H1,10,20260629,True,,0.000000,1.000000,,0.000000,1.000000,1.000000,True,0,0.999987,,,,,,,,,,,
H1,10,20260630,False,,0.000000,1.000000,,0.000000,1.000000,1.000000,True,0,0.999987,,,,,,,,,,,
H1,10,20260631,False,,0.000000,1.000000,,0.000000,1.000000,1.000000,True,0,0.999987,,,,,,,,,,,
H1,10,20260632,False,,0.000000,1.000000,,0.000000,1.000000,1.000000,True,0,0.999987,,,,,,,,,,,
H1,10,20260633,False,,0.000000,1.000000,,0.000000,1.000000,1.000000,True,0,0.999987,,,,,,,,,,,
H1,20,20260629,True,,0.000000,1.000000,,0.000000,1.000000,1.000000,True,0,0.999987,,,,,,,,,,,
H1,20,20260630,False,,0.000000,1.000000,,0.000000,1.000000,1.000000,True,0,0.999987,,,,,,,,,,,
H1,20,20260631,False,,0.000000,1.000000,,0.000000,1.000000,1.000000,True,0,0.999987,,,,,,,,,,,
H1,20,20260632,False,,0.000000,1.000000,,0.000000,1.000000,1.000000,True,0,0.999987,,,,,,,,,,,
H1,20,20260633,False,,0.000000,1.000000,,0.000000,1.000000,1.000000,True,0,0.999987,,,,,,,,,,,
H1b,30,20260629,True,,0.000000,1.000000,,0.100000,1.000000,1.000000,True,0,0.999987,,0.000000,1.000000,,,,,,,,
H1b,30,20260630,False,,0.000000,1.000000,,0.100000,1.000000,1.000000,True,0,0.999987,,0.000000,1.000000,,,,,,,,
H1b,30,20260631,False,,0.000000,1.000000,,0.100000,1.000000,1.000000,True,0,0.999987,,0.000000,1.000000,,,,,,,,
H1b,30,20260632,False,,0.000000,1.000000,,0.100000,1.000000,1.000000,True,0,0.999987,,0.000000,1.000000,,,,,,,,
H1b,30,20260633,False,,0.000000,1.000000,,0.100000,1.000000,1.000000,True,0,0.999987,,0.000000,1.000000,,,,,,,,
H1b,10,20260629,True,,0.000000,1.000000,,0.100000,1.000000,1.000000,True,0,0.999987,,0.000000,1.000000,,,,,,,,
H1b,10,20260630,False,,0.000000,1.000000,,0.100000,1.000000,1.000000,True,0,0.999987,,0.000000,1.000000,,,,,,,,
H1b,10,20260631,False,,0.000000,1.000000,,0.100000,1.000000,1.000000,True,0,0.999987,,0.000000,1.000000,,,,,,,,
H1b,10,20260632,False,,0.000000,1.000000,,0.100000,1.000000,1.000000,True,0,0.999987,,0.000000,1.000000,,,,,,,,
H1b,10,20260633,False,,0.000000,1.000000,,0.100000,1.000000,1.000000,True,0,0.999987,,0.000000,1.000000,,,,,,,,
H1b,20,20260629,True,,0.000000,1.000000,,0.100000,1.000000,1.000000,True,0,0.999987,,0.000000,1.000000,,,,,,,,
H1b,20,20260630,False,,0.000000,1.000000,,0.100000,1.000000,1.000000,True,0,0.999987,,0.000000,1.000000,,,,,,,,
H1b,20,20260631,False,,0.000000,1.000000,,0.100000,1.000000,1.000000,True,0,0.999987,,0.000000,1.000000,,,,,,,,
H1b,20,20260632,False,,0.000000,1.000000,,0.100000,1.000000,1.000000,True,0,0.999987,,0.000000,1.000000,,,,,,,,
H1b,20,20260633,False,,0.000000,1.000000,,0.100000,1.000000,1.000000,True,0,0.999987,,0.000000,1.000000,,,,,,,,
H3,30,20260629,True,1.000000,0.000000,1.000000,0.500000,0.000000,1.000000,1.000000,True,0,0.999987,0.000001,,,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000
H3,30,20260630,False,1.000000,0.000000,1.000000,0.500000,0.000000,1.000000,1.000000,True,0,0.999987,0.000001,,,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000
H3,30,20260631,False,1.000000,0.000000,1.000000,0.500000,0.000000,1.000000,1.000000,True,0,0.999987,0.000001,,,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000
H3,30,20260632,False,1.000000,0.000000,1.000000,0.500000,0.000000,1.000000,1.000000,True,0,0.999987,0.000001,,,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000
H3,30,20260633,False,1.000000,0.000000,1.000000,0.500000,0.000000,1.000000,1.000000,True,0,0.999987,0.000001,,,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000
H3,10,20260629,True,1.000000,0.000000,1.000000,0.500000,0.000000,1.000000,1.000000,True,0,0.999987,0.000001,,,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000
H3,10,20260630,False,1.000000,0.000000,1.000000,0.500000,0.000000,1.000000,1.000000,True,0,0.999987,0.000001,,,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000
H3,10,20260631,False,1.000000,0.000000,1.000000,0.500000,0.000000,1.000000,1.000000,True,0,0.999987,0.000001,,,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000
H3,10,20260632,False,1.000000,0.000000,1.000000,0.500000,0.000000,1.000000,1.000000,True,0,0.999987,0.000001,,,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000
H3,10,20260633,False,1.000000,0.000000,1.000000,0.500000,0.000000,1.000000,1.000000,True,0,0.999987,0.000001,,,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000
H3,20,20260629,True,1.000000,0.000000,1.000000,0.500000,0.000000,1.000000,1.000000,True,0,0.999987,0.000001,,,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000
H3,20,20260630,False,1.000000,0.000000,1.000000,0.500000,0.000000,1.000000,1.000000,True,0,0.999987,0.000001,,,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000
H3,20,20260631,False,1.000000,0.000000,1.000000,0.500000,0.000000,1.000000,1.000000,True,0,0.999987,0.000001,,,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000
H3,20,20260632,False,1.000000,0.000000,1.000000,0.500000,0.000000,1.000000,1.000000,True,0,0.999987,0.000001,,,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000
H3,20,20260633,False,1.000000,0.000000,1.000000,0.500000,0.000000,1.000000,1.000000,True,0,0.999987,0.000001,,,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000
